Enero,10.65,20.14,-57.60,299.20,450,304.90,810,163.29,750,507.43,810,462.77,630,581.25,990,749.10
Febrero,10.65,-11.58,-60.60,299.62,450,304.69,710,218.70,750,416.93,810,401.53,630,538.38,990,767.10
Marzo,10.65,-0.40,-54.00,299.64,390,305.13,870,231.75,750,338.13,610,441.86,630,635.32,990,860.60
Abril,10.65,10.51,-45.60,299.91,390,314.64,870,260.49,750,261.28,990,393.50,630,530.69,990,759.40
Mayo,10.65,20.14,-42.60,300.11,390,305.64,870,287.17,810,224.93,810,340.16,630,402.05,630,672.30
Junio,10.65,23.45,-48.00,300.54,330,307.32,810,317.60,750,241.43,750,313.17,570,367.61,930,680.30
Julio,10.65,19.82,-52.80,300.84,390,307.81,810,286.60,810,189.83,810,425.23,570,513.36,990,802.80
Agosto,10.65,9.97,-47.40,301.53,390,308.37,870,221.65,810,226.34,810,461.40,630,524.77,990,809.50
Septiembre,10.65,266.59,365.24,672.40,99,631.20,63,-47.40,0,809.50,0,0.00,0,9.00,0,369.48
Octubre,10.65,266.59,365.24,672.40,99,631.20,63,-47.40,0,809.50,0,0.00,0,9.00,0,369.48
Noviembre,10.65,-20.64,-33.60,301.04,390,306.77,870,198.34,750,504.93,750,425.97,570,499.71,990,750.90
Diciembre,10.65,-23.44,-45.60,299.73,390,305.52,810,181.05,810,455.33,750,392.44,630,434.38,990,636.90
