Bloque Comun 100 mm.,0.1,1922.00,0.73,0.84
Bloque Comun 200 mm.,0.2,1922.00,0.27,0.84
bloque de arcilla 10cm,0.1,159.09,0.58,0.10
Bloque pared arcilla 10 cm,0.1,700.00,0.58,0.81
Bloque pared arcilla 15 cm,0.15,555.56,0.54,0.65
Bloque pared concreto 10 cm ,0.15,1217.52,0.89,0.95
Bloque pared concreto 15 cm ,0.15,1001.07,10534.00,0.95
Bloque tabelón 8 cm,0.08,804.69,0.77,0.89
Bloque de hormigon (190mmX140mm) ,0.1,2000.00,0.92,0.92
Bloque de hormigon (190mmX190mm),0.1,2000.00,1015.00,0.92
Ladrillo arcilla 10 cm hueco,0.01,2083.33,0.94,0.40
Ladrillo arcilla 10 cm macizo,0.01,4000.00,0.94,0.31
Panel losa nervada Monoplac,0.19,2400.00,0.01,0.92
