Concreto armado pesado,0.15,2300.00,1.73,0.84
Concreto armado pesado,0.20,2300.00,1.73,0.84
Concreto aligerado,0.20,600.00,0.31,1.05
Concreto de Alta densidad 100 mm.,0.10,2243.00,1.73,0.84
Concreto de alta densidad 150 mm.,0.15,2243.00,1.73,0.84
Concreto de alta densidad 200 mm.,0.20,2243.00,1.73,0.84
Concreto de alta densidad 50 mm.,0.05,2243.00,1.73,0.84
Concreto de baja densidad 100 mm.,0.10,641.00,0.17,0.84
Concreto de baja densidad 150 mm.,0.15,641.00,0.17,0.84
Concreto de baja densidad 200 mm.,0.20,641.00,0.17,0.84
Cielo raso de fibra de vidrio 5/8 pulg (1.59 cm),0.02,95.00,0.04,0.80
Losa nervada plafacil,0.06,964.47,0.69,0.90
Lámina galvanizada,0.03,2325.00,1.15,1008.00
